time,instrument,direction,order_price,order_amount,money_before_order,money_after_order,profit,profit_ratio,total_asset
2012-01-30,平安银行,buy,16.81,59411,1000000,1001.4803000000838,0,0,999700.3903
2012-02-03,平安银行,buy,16.86,59,1001.4803000000838,1.7403000000838347,0,0,1006230.6003000002
2012-12-17,平安银行,buy,15.2,390,5948.740300000084,15.740300000084062,0,0,908698.3403
2013-06-21,平安银行,sell,10.95,95776,10191.940300000086,1057575.7689,238484.25257586813,0.29432945605376876,1318088.501475868
2013-09-10,平安银行,buy,12.42,85040,1057575.7689,1062.109899999978,0,0,1057258.9099
2013-12-30,平安银行,buy,11.79,89,1062.109899999978,7.799899999978152,0,0,1000277.1098999999
2015-01-05,平安银行,buy,15.99,851,13628.439899999978,15.949899999977788,0,0,1631742.7998999998
2015-06-16,平安银行,sell,15.8,123606,17938.819899999977,1968374.7527,1174520.3152441166,1.5087848271725686,3157727.787944117
2015-07-07,平安银行,buy,13.66,143910,1968374.7527,1974.409499999977,0,0,1967785.0095000002
2015-07-10,平安银行,buy,13.85,142,1974.409499999977,2.7094999999769698,0,0,2054126.0095
2016-07-13,平安银行,buy,8.88,2479,22042.665499999974,22.541399999973255,0,0,1557050.6213999998
2018-01-02,平安银行,buy,13.35,2074,27726.419399999973,30.212999999975576,0,0,2359753.413
2018-02-23,平安银行,buy,12.58,2,30.212999999975576,0.05299999997557592,0,0,2210616.1130000004
2018-09-25,平安银行,buy,10.52,2290,24128.764999999974,30.73779999997468,0,0,1917160.9277999997
2018-10-15,平安银行,buy,10.39,2,30.73779999997468,4.957799999974679,0,0,1851007.8378
2020-01-02,平安银行,buy,16.65,1563,26062.762799999975,31.005599999977868,0,0,2982268.0056
2020-07-06,平安银行,buy,14.6,2705,39548.30159999998,43.45369999997705,0,0,2622662.4537
2021-01-04,平安银行,buy,19.1,2,43.45369999997705,0.2536999999770444,0,0,3558153.6337
2021-07-05,平安银行,sell,21.69,183979,33116.47369999998,4018433.3277900005,2669605.804049692,2.0210526303219214,6710116.611839691
2021-07-07,平安银行,buy,22.68,176949,4018433.3277900005,4026.0467900006433,0,0,4017229.3667900003
2022-01-04,平安银行,sell,16.48,176949,4026.0467900006433,2916354.6113700005,908915.8795000002,0.452826938513118,3825270.490870001
2022-11-30,平安银行,buy,12.9,225780,2916354.6113700005,2918.8427700005227,0,0,2915480.8427700005
